Wavelength,DM + window
2.163,0.914928563
2.164,0.914928563
2.165,0.914928563
2.166,0.914928563
2.167,0.914928563
2.168,0.914928563
2.169,0.914928563
2.17,0.914928563
2.171,0.914928563
2.172,0.914928563
2.173,0.914928563
2.174,0.914928563
2.175,0.914928563
2.176,0.914928563
2.177,0.914928563
2.178,0.914928563
2.179,0.914928563
2.18,0.914928563
2.181,0.914928563
2.182,0.91493117
2.183,0.914938247
2.184,0.914948677
2.185,0.914961342
2.186,0.914975124
2.187,0.914988906
2.188,0.915001571
2.189,0.915012
2.19,0.915019078
2.191,0.915021685
2.192,0.915021685
2.193,0.915021685
2.194,0.915021685
2.195,0.915021685
2.196,0.915021685
2.197,0.915021685
2.198,0.915021685
2.199,0.915021685
2.2,0.915021685
2.201,0.915021685
2.202,0.915021685
2.203,0.915021685
2.204,0.915021685
2.205,0.915021685
2.206,0.915021685
2.207,0.915021685
2.208,0.915021685
2.209,0.915021685
2.21,0.915021685
2.211,0.915021685
2.212,0.915021685
2.213,0.915021685
2.214,0.915021685
2.215,0.915021685
2.216,0.915021685
2.217,0.915021685
2.218,0.915021685
2.219,0.915021685
2.22,0.915021685
2.221,0.915021685
2.222,0.915021685
2.223,0.915021685
2.224,0.915021685
2.225,0.915021685
2.226,0.915021685
2.227,0.915021685
2.228,0.915021685
2.229,0.915021685
2.23,0.915021685
2.231,0.915021685
2.232,0.915021685
2.233,0.915021685
2.234,0.915021685
2.235,0.915021685
2.236,0.915021685
2.237,0.915021685
2.238,0.915021685
2.239,0.915021685
2.24,0.915021685
2.241,0.915021685
2.242,0.915024292
2.243,0.91503137
2.244,0.915041799
2.245,0.915054464
2.246,0.915068246
2.247,0.915082028
2.248,0.915094693
2.249,0.915105123
2.25,0.9151122
2.251,0.915114808
2.252,0.915114808
2.253,0.915114808
2.254,0.915114808
2.255,0.915114808
2.256,0.915114808
2.257,0.915114808
2.258,0.915114808
2.259,0.915114808
2.26,0.915114808
2.261,0.915114808
2.262,0.915117415
2.263,0.915124492
2.264,0.915134922
2.265,0.915147587
2.266,0.915161369
2.267,0.915175151
2.268,0.915187816
2.269,0.915198245
2.27,0.915205323
2.271,0.91520793
2.272,0.91520793
2.273,0.91520793
2.274,0.91520793
2.275,0.91520793
2.276,0.91520793
2.277,0.91520793
2.278,0.91520793
2.279,0.91520793
2.28,0.91520793
