Wavelength,Keck AO dichroic
2.133,0.9802
2.134,0.9802
2.135,0.9802
2.136,0.9802
2.137,0.9802
2.138,0.9802
2.139,0.9802
2.14,0.9802
2.141,0.9801944
2.142,0.9801792
2.143,0.9801568
2.144,0.9801296
2.145,0.9801
2.146,0.9800704
2.147,0.9800432
2.148,0.9800208
2.149,0.9800056
2.15,0.98
2.151,0.9800252
2.152,0.9800936
2.153,0.9801944
2.154,0.9803168
2.155,0.98045
2.156,0.9805832
2.157,0.9807056
2.158,0.9808064
2.159,0.9808748
2.16,0.9809
2.161,0.9808468
2.162,0.9807024
2.163,0.9804896
2.164,0.9802312
2.165,0.97995
2.166,0.9796688
2.167,0.9794104
2.168,0.9791976
2.169,0.9790532
2.17,0.979
2.171,0.9790084
2.172,0.9790312
2.173,0.9790648
2.174,0.9791056
2.175,0.97915
2.176,0.9791944
2.177,0.9792352
2.178,0.9792688
2.179,0.9792916
2.18,0.9793
2.181,0.97929275
2.182,0.979272
2.183,0.97923925
2.184,0.979196
2.185,0.97914375
2.186,0.979084
2.187,0.97901825
2.188,0.978948
2.189,0.97887475
2.19,0.9788
2.191,0.978700426
2.192,0.978559294
2.193,0.978387985
2.194,0.978197882
2.195,0.978000368
2.196,0.977806824
2.197,0.977628632
2.198,0.977477176
2.199,0.977363838
2.2,0.9773
2.201,0.977269033
2.202,0.977245476
2.203,0.977227465
2.204,0.977213134
2.205,0.977200619
2.206,0.977188054
2.207,0.977173575
2.208,0.977155316
2.209,0.977131413
2.21,0.9771
2.211,0.977023411
2.212,0.976877389
2.213,0.976680189
2.214,0.976450063
2.215,0.976205263
2.216,0.975964042
2.217,0.975744653
2.218,0.975565347
2.219,0.975444379
2.22,0.9754
2.221,0.9754224
2.222,0.9754832
2.223,0.9755728
2.224,0.9756816
2.225,0.9758
2.226,0.9759184
2.227,0.9760272
2.228,0.9761168
2.229,0.9761776
2.23,0.9762
2.231,0.976172
2.232,0.976096
2.233,0.975984
2.234,0.975848
2.235,0.9757
2.236,0.975552
2.237,0.975416
2.238,0.975304
2.239,0.975228
2.24,0.9752
2.241,0.9752616
2.242,0.9754288
2.243,0.9756752
2.244,0.9759744
2.245,0.9763
2.246,0.9766256
2.247,0.9769248
2.248,0.9771712
2.249,0.9773384
2.25,0.9774
2.251,0.9773524
2.252,0.9772232
2.253,0.9770328
2.254,0.9768016
2.255,0.97655
2.256,0.9762984
2.257,0.9760672
2.258,0.9758768
2.259,0.9757476
2.26,0.9757
2.261,0.975714
2.262,0.975752
2.263,0.975808
2.264,0.975876
2.265,0.97595
2.266,0.976024
2.267,0.976092
2.268,0.976148
2.269,0.976186
2.27,0.9762
2.271,0.9762
2.272,0.9762
2.273,0.9762
2.274,0.9762
2.275,0.9762
2.276,0.9762
2.277,0.9762
2.278,0.9762
2.279,0.9762
2.28,0.9762
2.281,0.9761961
2.282,0.9761848
2.283,0.9761667
2.284,0.9761424
2.285,0.9761125
2.286,0.9760776
2.287,0.9760383
2.288,0.9759952
2.289,0.9759489
2.29,0.9759
2.291,0.9758175
2.292,0.97568
2.293,0.9755025
2.294,0.9753
2.295,0.9750875
2.296,0.97488
2.297,0.9746925
2.298,0.97454
2.299,0.9744375
2.3,0.9744
2.301,0.9744672
2.302,0.9746496
2.303,0.9749184
2.304,0.9752448
2.305,0.9756
2.306,0.9759552
2.307,0.9762816
