Wavelength,Protected Au
1.804,0.9809352
1.805,0.98095
1.806,0.9809648
1.807,0.9809784
1.808,0.9809896
1.809,0.9809972
1.81,0.981
1.811,0.981
1.812,0.981
1.813,0.981
1.814,0.981
1.815,0.981
1.816,0.981
1.817,0.981
1.818,0.981
1.819,0.981
1.82,0.981
1.821,0.9810019
1.822,0.9810072
1.823,0.9810153
1.824,0.9810256
1.825,0.9810375
1.826,0.9810504
1.827,0.9810637
1.828,0.9810768
1.829,0.9810891
1.83,0.9811
1.831,0.9811109
1.832,0.9811232
1.833,0.9811363
1.834,0.9811496
1.835,0.9811625
1.836,0.9811744
1.837,0.9811847
1.838,0.9811928
1.839,0.9811981
1.84,0.9812
1.841,0.9812
1.842,0.9812
1.843,0.9812
1.844,0.9812
1.845,0.9812
1.846,0.9812
1.847,0.9812
1.848,0.9812
1.849,0.9812
1.85,0.9812
1.851,0.9812028
1.852,0.9812104
1.853,0.9812216
1.854,0.9812352
1.855,0.98125
1.856,0.9812648
1.857,0.9812784
1.858,0.9812896
1.859,0.9812972
1.86,0.9813
1.861,0.9813
1.862,0.9813
1.863,0.9813
1.864,0.9813
1.865,0.9813
1.866,0.9813
1.867,0.9813
1.868,0.9813
1.869,0.9813
1.87,0.9813
1.871,0.9813028
1.872,0.9813104
1.873,0.9813216
1.874,0.9813352
1.875,0.98135
1.876,0.9813648
1.877,0.9813784
1.878,0.9813896
1.879,0.9813972
1.88,0.9814
1.881,0.9814
1.882,0.9814
1.883,0.9814
1.884,0.9814
1.885,0.9814
1.886,0.9814
1.887,0.9814
1.888,0.9814
1.889,0.9814
1.89,0.9814
1.891,0.9814028
1.892,0.9814104
1.893,0.9814216
1.894,0.9814352
1.895,0.98145
1.896,0.9814648
1.897,0.9814784
1.898,0.9814896
1.899,0.9814972
1.9,0.9815
1.901,0.9815
1.902,0.9815
1.903,0.9815
1.904,0.9815
1.905,0.9815
1.906,0.9815
1.907,0.9815
1.908,0.9815
1.909,0.9815
1.91,0.9815
1.911,0.9815028
1.912,0.9815104
1.913,0.9815216
1.914,0.9815352
1.915,0.98155
1.916,0.9815648
1.917,0.9815784
1.918,0.9815896
1.919,0.9815972
1.92,0.9816
1.921,0.9816
1.922,0.9816
1.923,0.9816
1.924,0.9816
1.925,0.9816
1.926,0.9816
1.927,0.9816
1.928,0.9816
1.929,0.9816
1.93,0.9816
1.931,0.9816028
1.932,0.9816104
1.933,0.9816216
1.934,0.9816352
1.935,0.98165
1.936,0.9816648
1.937,0.9816784
1.938,0.9816896
1.939,0.9816972
1.94,0.9817
1.941,0.9817
1.942,0.9817
1.943,0.9817
1.944,0.9817
1.945,0.9817
1.946,0.9817
1.947,0.9817
1.948,0.9817
1.949,0.9817
1.95,0.9817
1.951,0.9817028
1.952,0.9817104
1.953,0.9817216
1.954,0.9817352
1.955,0.98175
1.956,0.9817648
1.957,0.9817784
1.958,0.9817896
1.959,0.9817972
1.96,0.9818
1.961,0.9818
1.962,0.9818
1.963,0.9818
1.964,0.9818
1.965,0.9818
1.966,0.9818
1.967,0.9818
1.968,0.9818
1.969,0.9818
1.97,0.9818
1.971,0.9818019
1.972,0.9818072
1.973,0.9818153
1.974,0.9818256
1.975,0.9818375
1.976,0.9818504
1.977,0.9818637
1.978,0.9818768
1.979,0.9818891
1.98,0.9819
1.981,0.9819109
1.982,0.9819232
1.983,0.9819363
1.984,0.9819496
1.985,0.9819625
1.986,0.9819744
1.987,0.9819847
1.988,0.9819928
1.989,0.9819981
1.99,0.982
1.991,0.982
1.992,0.982
1.993,0.982
1.994,0.982
1.995,0.982
1.996,0.982
1.997,0.982
1.998,0.982
1.999,0.982
2,0.982
2.001,0.9820028
2.002,0.9820104
2.003,0.9820216
2.004,0.9820352
2.005,0.98205
2.006,0.9820648
2.007,0.9820784
2.008,0.9820896
2.009,0.9820972
2.01,0.9821
2.011,0.9821
2.012,0.9821
2.013,0.9821
2.014,0.9821
2.015,0.9821
2.016,0.9821
2.017,0.9821
2.018,0.9821
2.019,0.9821
2.02,0.9821
2.021,0.9821
2.022,0.9821
2.023,0.9821
2.024,0.9821
2.025,0.9821
2.026,0.9821
2.027,0.9821
2.028,0.9821
2.029,0.9821
2.03,0.9821
2.031,0.9821
2.032,0.9821
2.033,0.9821
2.034,0.9821
2.035,0.9821
2.036,0.9821
2.037,0.9821
2.038,0.9821
2.039,0.9821
2.04,0.9821
2.041,0.9821
2.042,0.9821
2.043,0.9821
2.044,0.9821
2.045,0.9821
2.046,0.9821
2.047,0.9821
2.048,0.9821
2.049,0.9821
2.05,0.9821
2.051,0.9821
2.052,0.9821
2.053,0.9821
2.054,0.9821
2.055,0.9821
2.056,0.9821
2.057,0.9821
2.058,0.9821
2.059,0.9821
