Wavelength,Fiber prop
1.851,0.857278875
1.852,0.857385056
1.853,0.857492495
1.854,0.857600089
1.855,0.857706733
1.856,0.857811323
1.857,0.857912756
1.858,0.858009927
1.859,0.858101731
1.86,0.858187066
1.861,0.858266292
1.862,0.858341035
1.863,0.858412085
1.864,0.858480235
1.865,0.858546274
1.866,0.858610995
1.867,0.858675188
1.868,0.858739645
1.869,0.858805157
1.87,0.858872515
1.871,0.85894106
1.872,0.859009605
1.873,0.859078149
1.874,0.859146694
1.875,0.859215239
1.876,0.859283784
1.877,0.859352329
1.878,0.859420873
1.879,0.859489418
1.88,0.859557963
1.881,0.859626576
1.882,0.859695293
1.883,0.859764072
1.884,0.859832865
1.885,0.859901628
1.886,0.859970316
1.887,0.860038883
1.888,0.860107285
1.889,0.860175476
1.89,0.860243411
1.891,0.860312391
1.892,0.860383186
1.893,0.860454955
1.894,0.860526857
1.895,0.860598051
1.896,0.860667696
1.897,0.860734952
1.898,0.860798976
1.899,0.860858929
1.9,0.86091397
1.901,0.860964482
1.902,0.861011787
1.903,0.861056451
1.904,0.86109904
1.905,0.861140121
1.906,0.861180258
1.907,0.861220017
1.908,0.861259966
1.909,0.861300669
1.91,0.861342692
1.911,0.861385564
1.912,0.861428436
1.913,0.861471309
1.914,0.861514181
1.915,0.861557053
1.916,0.861599925
1.917,0.861642797
1.918,0.86168567
1.919,0.861728542
1.92,0.861771414
1.921,0.861814866
1.922,0.861859221
1.923,0.861904091
1.924,0.86194909
1.925,0.861993831
1.926,0.862037928
1.927,0.862080994
1.928,0.862122642
1.929,0.862162485
1.93,0.862200137
1.931,0.862238462
1.932,0.862279528
1.933,0.862321752
1.934,0.862363551
1.935,0.862403343
1.936,0.862439545
1.937,0.862470576
1.938,0.862494852
1.939,0.862510791
1.94,0.86251681
1.941,0.862517292
1.942,0.862517684
1.943,0.862518003
1.944,0.862518263
1.945,0.862518481
1.946,0.862518673
1.947,0.862518854
1.948,0.862519041
1.949,0.862519248
1.95,0.862519493
1.951,0.862519761
1.952,0.86252003
1.953,0.862520298
1.954,0.862520566
1.955,0.862520835
1.956,0.862521103
1.957,0.862521371
1.958,0.862521639
1.959,0.862521908
1.96,0.862522176
1.961,0.862522468
1.962,0.862522798
1.963,0.86252315
1.964,0.862523506
1.965,0.862523852
1.966,0.862524171
1.967,0.862524448
1.968,0.862524665
1.969,0.862524807
1.97,0.862524858
1.971,0.862512947
1.972,0.862479641
1.973,0.862428578
1.974,0.862363398
1.975,0.862287738
1.976,0.862205237
1.977,0.862119535
1.978,0.86203427
1.979,0.861953081
1.98,0.861879607
1.981,0.861810372
1.982,0.861739649
1.983,0.8616677
1.984,0.86159479
1.985,0.861521179
1.986,0.861447131
1.987,0.861372908
1.988,0.861298772
1.989,0.861224986
1.99,0.861151813
1.991,0.861081793
1.992,0.861016064
1.993,0.860952789
1.994,0.860890126
1.995,0.860826237
1.996,0.860759283
1.997,0.860687423
1.998,0.860608819
1.999,0.86052163
2,0.860424018
2.001,0.860306623
2.002,0.860164168
2.003,0.860000942
2.004,0.85982123
2.005,0.859629318
2.006,0.859429494
2.007,0.859226044
2.008,0.859023255
2.009,0.858825413
2.01,0.858636804
2.011,0.858453479
2.012,0.858268791
2.013,0.85808298
2.014,0.857896286
2.015,0.857708951
2.016,0.857521215
2.017,0.857333319
2.018,0.857145502
2.019,0.856958007
2.02,0.856771073
2.021,0.856577755
2.022,0.856373945
2.023,0.856164139
2.024,0.855952834
2.025,0.855744527
2.026,0.855543714
2.027,0.855354893
2.028,0.855182559
2.029,0.85503121
2.03,0.854905342
2.031,0.854792624
2.032,0.854679633
2.033,0.854569229
2.034,0.854464269
