Wavelength,FSS99 Ag
1.673,0.9967
1.674,0.9967
1.675,0.9967
1.676,0.9967
1.677,0.9967
1.678,0.9967
1.679,0.9967
1.68,0.9967
1.681,0.9967
1.682,0.9967
1.683,0.9967
1.684,0.9967
1.685,0.9967
1.686,0.9967
1.687,0.9967
1.688,0.9967
1.689,0.9967
1.69,0.9967
1.691,0.9967
1.692,0.9967
1.693,0.9967
1.694,0.9967
1.695,0.9967
1.696,0.9967
1.697,0.9967
1.698,0.9967
1.699,0.9967
1.7,0.9967
1.701,0.9967019
1.702,0.9967072
1.703,0.9967153
1.704,0.9967256
1.705,0.9967375
1.706,0.9967504
1.707,0.9967637
1.708,0.9967768
1.709,0.9967891
1.71,0.9968
1.711,0.9968109
1.712,0.9968232
1.713,0.9968363
1.714,0.9968496
1.715,0.9968625
1.716,0.9968744
1.717,0.9968847
1.718,0.9968928
1.719,0.9968981
1.72,0.9969
1.721,0.9969
1.722,0.9969
1.723,0.9969
1.724,0.9969
1.725,0.9969
1.726,0.9969
1.727,0.9969
1.728,0.9969
1.729,0.9969
1.73,0.9969
1.731,0.9969028
1.732,0.9969104
1.733,0.9969216
1.734,0.9969352
1.735,0.99695
1.736,0.9969648
1.737,0.9969784
1.738,0.9969896
1.739,0.9969972
1.74,0.997
1.741,0.997
1.742,0.997
1.743,0.997
1.744,0.997
1.745,0.997
1.746,0.997
1.747,0.997
1.748,0.997
1.749,0.997
1.75,0.997
1.751,0.9970019
1.752,0.9970072
1.753,0.9970153
1.754,0.9970256
1.755,0.9970375
1.756,0.9970504
1.757,0.9970637
1.758,0.9970768
1.759,0.9970891
1.76,0.9971
1.761,0.99711
1.762,0.99712
1.763,0.99713
1.764,0.99714
1.765,0.99715
1.766,0.99716
1.767,0.99717
1.768,0.99718
1.769,0.99719
1.77,0.9972
1.771,0.99721
1.772,0.99722
1.773,0.99723
1.774,0.99724
1.775,0.99725
1.776,0.99726
1.777,0.99727
1.778,0.99728
1.779,0.99729
1.78,0.9973
1.781,0.99731
1.782,0.99732
1.783,0.99733
1.784,0.99734
1.785,0.99735
1.786,0.99736
1.787,0.99737
1.788,0.99738
1.789,0.99739
1.79,0.9974
1.791,0.99741
1.792,0.99742
1.793,0.99743
1.794,0.99744
1.795,0.99745
1.796,0.99746
1.797,0.99747
1.798,0.99748
1.799,0.99749
1.8,0.9975
1.801,0.9975109
1.802,0.9975232
1.803,0.9975363
1.804,0.9975496
1.805,0.9975625
1.806,0.9975744
1.807,0.9975847
1.808,0.9975928
1.809,0.9975981
1.81,0.9976
1.811,0.9976
1.812,0.9976
1.813,0.9976
1.814,0.9976
1.815,0.9976
1.816,0.9976
1.817,0.9976
1.818,0.9976
1.819,0.9976
1.82,0.9976
1.821,0.9976
1.822,0.9976
1.823,0.9976
1.824,0.9976
1.825,0.9976
1.826,0.9976
1.827,0.9976
1.828,0.9976
1.829,0.9976
1.83,0.9976
1.831,0.9976
1.832,0.9976
1.833,0.9976
1.834,0.9976
1.835,0.9976
1.836,0.9976
1.837,0.9976
1.838,0.9976
1.839,0.9976
1.84,0.9976
1.841,0.9976
1.842,0.9976
1.843,0.9976
1.844,0.9976
1.845,0.9976
1.846,0.9976
1.847,0.9976
1.848,0.9976
1.849,0.9976
1.85,0.9976
1.851,0.9976
1.852,0.9976
1.853,0.9976
1.854,0.9976
1.855,0.9976
1.856,0.9976
1.857,0.9976
1.858,0.9976
1.859,0.9976
1.86,0.9976
1.861,0.9976
1.862,0.9976
1.863,0.9976
1.864,0.9976
1.865,0.9976
1.866,0.9976
1.867,0.9976
1.868,0.9976
1.869,0.9976
1.87,0.9976
1.871,0.9976019
1.872,0.9976072
1.873,0.9976153
1.874,0.9976256
1.875,0.9976375
1.876,0.9976504
1.877,0.9976637
1.878,0.9976768
1.879,0.9976891
1.88,0.9977
1.881,0.9977109
1.882,0.9977232
1.883,0.9977363
1.884,0.9977496
1.885,0.9977625
1.886,0.9977744
1.887,0.9977847
1.888,0.9977928
1.889,0.9977981
1.89,0.9978
1.891,0.9978
1.892,0.9978
1.893,0.9978
1.894,0.9978
1.895,0.9978
1.896,0.9978
1.897,0.9978
1.898,0.9978
1.899,0.9978
1.9,0.9978
1.901,0.9978028
1.902,0.9978104
1.903,0.9978216
1.904,0.9978352
1.905,0.99785
1.906,0.9978648
1.907,0.9978784
1.908,0.9978896
1.909,0.9978972
1.91,0.9979
1.911,0.9978972
1.912,0.9978896
1.913,0.9978784
1.914,0.9978648
1.915,0.99785
1.916,0.9978352
1.917,0.9978216
1.918,0.9978104
1.919,0.9978028
1.92,0.9978
1.921,0.9978
1.922,0.9978
1.923,0.9978
1.924,0.9978
1.925,0.9978
1.926,0.9978
1.927,0.9978
1.928,0.9978
1.929,0.9978
1.93,0.9978
1.931,0.9977972
1.932,0.9977896
1.933,0.9977784
1.934,0.9977648
