Wavelength,CX 
1.61,0.7331321
1.611,0.7335767
1.612,0.7340189
1.613,0.7344581
1.614,0.7348948
1.615,0.7353287
1.616,0.7357598
1.617,0.7361882
1.618,0.736614
1.619,0.7370372
1.62,0.7374576
1.621,0.7378752
1.622,0.7382903
1.623,0.7387027
1.624,0.7391124
1.625,0.7395195
1.626,0.7399238
1.627,0.7403255
1.628,0.7407248
1.629,0.7411214
1.63,0.741515
1.631,0.7419063
1.632,0.742295
1.633,0.7426809
1.634,0.7430643
1.635,0.7434451
1.636,0.7438232
1.637,0.7441989
1.638,0.744572
1.639,0.7449425
1.64,0.7453103
1.641,0.7456756
1.642,0.7460384
1.643,0.7463987
1.644,0.7467564
1.645,0.7471116
1.646,0.7474641
1.647,0.7478142
1.648,0.7481617
1.649,0.7485068
1.65,0.7488494
1.651,0.7491894
1.652,0.7495269
1.653,0.7498619
1.654,0.7501945
1.655,0.7505246
1.656,0.7508521
1.657,0.7511772
1.658,0.7515
1.659,0.7518203
1.66,0.7521378
1.661,0.7524533
1.662,0.7527662
1.663,0.7530766
1.664,0.7533846
1.665,0.7536901
1.666,0.7539934
1.667,0.7542942
1.668,0.7545926
1.669,0.7548885
1.67,0.755182
1.671,0.7554733
1.672,0.7557622
1.673,0.7560486
1.674,0.7563326
1.675,0.7566145
1.676,0.7568938
1.677,0.7571708
1.678,0.7574455
1.679,0.7577178
1.68,0.757988
1.681,0.7582555
1.682,0.758521
1.683,0.7587841
1.684,0.7590448
1.685,0.7593033
1.686,0.7595593
1.687,0.7598132
1.688,0.7600648
1.689,0.760314
1.69,0.7605612
1.691,0.7608058
1.692,0.7610484
1.693,0.7612886
1.694,0.7615267
1.695,0.7617625
1.696,0.761996
1.697,0.7622273
1.698,0.7624564
1.699,0.7626833
1.7,0.762908
1.701,0.7631304
1.702,0.7633507
1.703,0.7635687
1.704,0.7637845
1.705,0.7639983
1.706,0.7642097
1.707,0.764419
1.708,0.7646262
1.709,0.7648313
1.71,0.7650341
1.711,0.7652347
1.712,0.7654333
1.713,0.7656298
1.714,0.7658241
1.715,0.7660164
1.716,0.7662064
1.717,0.7663943
1.718,0.7665802
1.719,0.766764
1.72,0.7669456
1.721,0.7671252
1.722,0.7673028
1.723,0.767478
1.724,0.7676515
1.725,0.7678226
1.726,0.7679918
1.727,0.768159
1.728,0.7683242
1.729,0.7684873
1.73,0.7686483
1.731,0.7688072
1.732,0.7689642
1.733,0.7691193
1.734,0.7692721
1.735,0.769423
1.736,0.769572
1.737,0.769719
1.738,0.769864
1.739,0.770007
1.74,0.7701478
1.741,0.7702869
1.742,0.7704239
1.743,0.7705591
1.744,0.7706921
1.745,0.7708234
1.746,0.7709525
1.747,0.7710798
1.748,0.7712054
1.749,0.7713286
1.75,0.7714502
1.751,0.7715698
1.752,0.7716874
1.753,0.7718033
1.754,0.7719172
1.755,0.7720292
1.756,0.7721392
1.757,0.7722474
1.758,0.7723538
