Wavelength,K-L Fiber
1.804,0.98259088
1.805,0.98248707
1.806,0.98238327
1.807,0.98227946
1.808,0.98217566
1.809,0.98207185
1.81,0.98196805
1.811,0.98186424
1.812,0.98176044
1.813,0.98165663
1.814,0.98155283
1.815,0.98144902
1.816,0.98134522
1.817,0.98124142
1.818,0.98113761
1.819,0.98103381
1.82,0.98093
1.821,0.98118817
1.822,0.98144635
1.823,0.98170452
1.824,0.98196269
1.825,0.98222087
1.826,0.98247904
1.827,0.98273721
1.828,0.98299539
1.829,0.98325356
1.83,0.98351173
1.831,0.98376991
1.832,0.98402808
1.833,0.98428625
1.834,0.98454443
1.835,0.9848026
1.836,0.98506077
1.837,0.98531895
1.838,0.98557712
1.839,0.98583529
1.84,0.98609347
1.841,0.98634126
1.842,0.98658906
1.843,0.98683685
1.844,0.98708465
1.845,0.98733245
1.846,0.98758024
1.847,0.98782804
1.848,0.98807583
1.849,0.98832363
1.85,0.98857142
1.851,0.98881922
1.852,0.98906702
1.853,0.98931481
1.854,0.98956261
1.855,0.9898104
1.856,0.9900582
1.857,0.990306
1.858,0.99055379
1.859,0.99080159
1.86,0.99104938
1.861,0.99110181
1.862,0.99115424
1.863,0.99120667
1.864,0.9912591
1.865,0.99131153
1.866,0.99136396
1.867,0.99141639
1.868,0.99146882
1.869,0.99152125
1.87,0.99157367
1.871,0.9916261
1.872,0.99167853
1.873,0.99173096
1.874,0.99178339
1.875,0.99183582
1.876,0.99188825
1.877,0.99194068
1.878,0.99199311
1.879,0.99204554
1.88,0.99209797
1.881,0.99211552
1.882,0.99213307
1.883,0.99215062
1.884,0.99216817
1.885,0.99218572
1.886,0.99220327
1.887,0.99222083
1.888,0.99223838
1.889,0.99225593
1.89,0.99227348
1.891,0.99229103
1.892,0.99230858
1.893,0.99232613
1.894,0.99234368
1.895,0.99236124
1.896,0.99237879
1.897,0.99239634
1.898,0.99241389
1.899,0.99243144
1.9,0.99244899
1.901,0.99246383
1.902,0.99247866
1.903,0.9924935
1.904,0.99250834
1.905,0.99252317
1.906,0.99253801
1.907,0.99255284
1.908,0.99256768
1.909,0.99258251
1.91,0.99259735
1.911,0.99261219
1.912,0.99262702
1.913,0.99264186
1.914,0.99265669
1.915,0.99267153
1.916,0.99268636
1.917,0.9927012
1.918,0.99271604
1.919,0.99273087
1.92,0.99274571
1.921,0.99275832
1.922,0.99277093
