Wavelength,Echelle
1.584,0.9867638
1.585,0.9999198
1.586,0.990144
1.587,0.9566395
1.588,0.8999277
1.589,0.8219656
1.59,0.7261952
1.591,0.6174356
1.592,0.5016296
1.593,0.4194145
1.594,0.5037302
1.595,0.5906413
1.596,0.6772704
1.597,0.7603428
1.598,0.8363371
1.599,0.9016139
1.6,0.9526609
1.601,0.9862799
1.602,0.9998208
1.603,0.991444
1.604,0.9603241
1.605,0.9068499
1.606,0.8327007
1.607,0.7409523
1.608,0.6359512
1.609,0.5231454
1.61,0.4087375
1.611,0.4843814
1.612,0.5689766
1.613,0.6540157
1.614,0.7365662
1.615,0.8133475
1.616,0.8810039
1.617,0.9361629
1.618,0.9757059
1.619,0.9969194
1.62,0.9977526
1.621,0.9769983
1.622,0.9344944
1.623,0.8712448
1.624,0.7894838
1.625,0.6927159
1.626,0.5855497
1.627,0.4734755
1.628,0.4359076
1.629,0.5170516
1.63,0.6002014
1.631,0.6828067
1.632,0.7619716
1.633,0.8346434
1.634,0.8976192
1.635,0.9477968
1.636,0.982345
1.637,0.9988406
1.638,0.9955098
1.639,0.9713964
1.64,0.9265081
1.641,0.8619676
1.642,0.7800114
1.643,0.68405
1.644,0.5784702
1.645,0.468492
1.646,0.4377488
1.647,0.5170414
1.648,0.598257
1.649,0.6790411
1.65,0.7566913
1.651,0.8283249
1.652,0.8910094
1.653,0.9418023
1.654,0.9780015
1.655,0.9972829
1.656,0.9978492
1.657,0.9786391
1.658,0.9394353
1.659,0.8810272
1.66,0.8052391
1.661,0.7149345
1.662,0.6139799
1.663,0.5070677
1.664,0.4093713
1.665,0.4855371
1.666,0.5643682
1.667,0.6437603
1.668,0.7213272
1.669,0.7944627
1.67,0.8604326
1.671,0.9164608
1.672,0.959905
1.673,0.9883555
1.674,0.9998358
1.675,0.9929184
1.676,0.966895
1.677,0.9218882
1.678,0.858937
1.679,0.7800736
1.68,0.6882654
1.681,0.587385
1.682,0.4819568
1.683,0.4251263
1.684,0.5001565
1.685,0.5773644
1.686,0.6547813
1.687,0.7301375
1.688,0.8009699
1.689,0.8647239
1.69,0.9188198
1.691,0.9607868
1.692,0.988392
1.693,0.999781
1.694,0.9936085
1.695,0.9691699
1.696,0.9265301
1.697,0.8665847
1.698,0.7911198
1.699,0.7028257
1.7,0.6051592
1.701,0.5023414
1.702,0.4096342
1.703,0.4821323
1.704,0.557148
1.705,0.6328636
1.706,0.7072775
1.707,0.7781217
1.708,0.8430476
1.709,0.8996328
1.71,0.9455326
1.711,0.9785509
1.712,0.996788
1.713,0.9987588
1.714,0.9835059
1.715,0.950721
1.716,0.9008262
1.717,0.8350446
1.718,0.7554103
1.719,0.6647683
1.72,0.5666645
1.721,0.4652168
1.722,0.4335831
1.723,0.5052814
1.724,0.5788782
1.725,0.652639
1.726,0.7245981
1.727,0.7926601
1.728,0.854588
1.729,0.9081433
1.73,0.9511397
1.731,0.9815809
1.732,0.9977202
1.733,0.9982182
1.734,0.9822204
1.735,0.9494641
1.736,0.9003698
1.737,0.8360735
1.738,0.758476
1.739,0.6701947
1.74,0.5745277
1.741,0.4752927
1.742,0.4251088
1.743,0.4946986
1.744,0.5663024
1.745,0.6383774
1.746,0.7091256
1.747,0.7766029
1.748,0.8387827
1.749,0.8935597
1.75,0.9388819
1.751,0.9728051
1.752,0.9936311
1.753,0.9999449
1.754,0.9907663
1.755,0.9656076
1.756,0.9245807
1.757,0.868429
1.758,0.7985886
1.759,0.7171834
1.76,0.6269537
1.761,0.5312641
1.762,0.433811
1.763,0.4521692
1.764,0.5209342
1.765,0.5911171
1.766,0.6611873
1.767,0.7294278
1.768,0.7940089
1.769,0.8530213
1.77,0.9044988
1.771,0.9465501
1.772,0.9774162
1.773,0.9955354
1.774,0.9996541
1.775,0.9889031
1.776,0.9628859
1.777,0.9217322
1.778,0.8661882
1.779,0.7976047
1.78,0.7179596
1.781,0.6298428
1.782,0.5363329
1.783,0.4409353
1.784,0.4456176
1.785,0.5124322
1.786,0.5807511
1.787,0.6491943
1.788,0.7162041
1.789,0.780095
1.79,0.8390958
1.791,0.8914021
1.792,0.9352185
1.793,0.9688708
1.794,0.9908358
1.795,0.9998324
1.796,0.9949121
1.797,0.9755196
1.798,0.9415599
1.799,0.8934745
1.8,0.832257
1.801,0.7594549
1.802,0.677218
1.803,0.5881739
1.804,0.4954019
1.805,0.407275
1.806,0.4709048
1.807,0.5366955
1.808,0.6034846
1.809,0.6699299
1.81,0.7345499
1.811,0.7957342
1.812,0.851836
1.813,0.9011895
1.814,0.9421412
1.815,0.9731362
1.816,0.9928041
1.817,0.9999853
1.818,0.9938288
1.819,0.9738507
1.82,0.9399859
1.821,0.8926634
1.822,0.8327972
1.823,0.7618436
1.824,0.6817771
1.825,0.5950496
1.826,0.5044677
1.827,0.4132392
1.828,0.4615794
1.829,0.5254163
1.83,0.5904182
1.831,0.6553439
1.832,0.7188638
1.833,0.7795277
1.834,0.8358006
1.835,0.886129
1.836,0.9289733
1.837,0.96286
1.838,0.9864396
1.839,0.9985465
1.84,0.9982577
1.841,0.9849602
1.842,0.9584055
1.843,0.9187527
1.844,0.8666104
1.845,0.8030627
1.846,0.7296745
1.847,0.6484637
1.848,0.5618747
1.849,0.4726732
1.85,0.419682
1.851,0.4804564
1.852,0.543062
1.853,0.6064636
1.854,0.6695127
1.855,0.7309492
1.856,0.7893848
1.857,0.8434148
1.858,0.8916052
1.859,0.9325176
1.86,0.9647944
1.861,0.9871987
1.862,0.9986539
1.863,0.9983003
1.864,0.9855679
1.865,0.9602051
1.866,0.9223405
1.867,0.8725005
1.868,0.8116349
1.869,0.741145
1.87,0.662859
1.871,0.5789851
1.872,0.4920471
1.873,0.4055825
1.874,0.4641452
1.875,0.5246958
1.876,0.586305
1.877,0.6479478
1.878,0.7084826
1.879,0.7666791
1.88,0.8212361
1.881,0.8708349
1.882,0.9141372
1.883,0.9498469
1.884,0.9767556
1.885,0.9937739
1.886,0.9999864
1.887,0.9947047
1.888,0.977506
1.889,0.9482827
1.89,0.9072771
1.891,0.8551018
1.892,0.7927695
1.893,0.7216867
1.894,0.6436396
1.895,0.5607542
1.896,0.475477
1.897,0.4151537
1.898,0.4724868
1.899,0.5315882
1.9,0.5916017
1.901,0.6515658
1.902,0.7104198
1.903,0.7670269
1.904,0.8201804
1.905,0.8686704
1.906,0.9112486
1.907,0.9467188
1.908,0.9739459
1.909,0.9919032
1.91,0.9997143
1.911,0.9966995
1.912,0.9824112
1.913,0.956676
1.914,0.9196362
1.915,0.8717501
1.916,0.8138515
1.917,0.7471136
1.918,0.6730918
1.919,0.5936493
1.92,0.5109476
1.921,0.4273669
1.922,0.4456909
1.923,0.5024645
1.924,0.5605098
1.925,0.6189991
1.926,0.6770059
1.927,0.7335096
1.928,0.787452
1.929,0.8376929
1.93,0.8831012
1.931,0.9225471
1.932,0.9549305
1.933,0.9792212
1.934,0.9944994
1.935,0.999993
1.936,0.9951035
1.937,0.9794533
1.938,0.9529191
1.939,0.9156492
1.94,0.8681205
1.941,0.8111014
1.942,0.7457052
1.943,0.6733912
1.944,0.5958523
1.945,0.5151222
1.946,0.4334169
1.947,0.4401986
1.948,0.4952194
1.949,0.5515392
1.95,0.6084165
1.951,0.6650046
1.952,0.7203928
1.953,0.7735897
1.954,0.8235925
1.955,0.8693256
1.956,0.9097599
1.957,0.9438509
1.958,0.9706334
1.959,0.9892039
1.96,0.9987851
1.961,0.9987438
1.962,0.9886311
1.963,0.9682043
1.964,0.937459
1.965,0.8966696
1.966,0.8463764
1.967,0.7874314
1.968,0.7209681
1.969,0.6484361
1.97,0.5715033
1.971,0.4921268
1.972,0.4123907
1.973,0.4527616
1.974,0.506569
1.975,0.5614899
1.976,0.6167954
1.977,0.6717164
1.978,0.7253986
1.979,0.7769352
1.98,0.8253858
1.981,0.8697701
1.982,0.9091268
1.983,0.9425084
1.984,0.969004
1.985,0.9877846
1.986,0.9981125
1.987,0.9993817
1.988,0.9911456
1.989,0.9731413
1.99,0.9453194
1.991,0.9078645
1.992,0.86122
1.993,0.8060687
1.994,0.7434005
1.995,0.6744511
1.996,0.6006972
1.997,0.5238708
1.998,0.4458644
1.999,0.4292597
2,0.4808371
2.001,0.5337555
2.002,0.5873893
2.003,0.6410729
2.004,0.6940466
2.005,0.7455162
2.006,0.794618
2.007,0.8404819
2.008,0.8822068
2.009,0.9189135
2.01,0.9497281
2.011,0.9738252
2.012,0.9904587
2.013,0.9989661
2.014,0.998809
2.015,0.9895967
2.016,0.9710993
2.017,0.943289
2.018,0.906339
2.019,0.8606664
2.02,0.8069124
2.021,0.7459825
2.022,0.6789976
2.023,0.6073269
2.024,0.5325437
2.025,0.4563965
2.026,0.4211625
2.027,0.4709692
2.028,0.522145
2.029,0.5741501
2.03,0.6263552
2.031,0.6780965
2.032,0.7286618
2.033,0.7772682
2.034,0.8231271
2.035,0.8654114
2.036,0.9033031
2.037,0.9359913
2.038,0.9626939
2.039,0.9826824
2.04,0.9952993
2.041,0.9999815
2.042,0.9962852
2.043,0.9838995
2.044,0.9626781
2.045,0.9326546
2.046,0.8940485
2.047,0.8473046
2.048,0.7930718
2.049,0.7322332
2.05,0.6658832
2.051,0.5952996
2.052,0.5219956
2.053,0.4476067
2.054,0.4255559
2.055,0.4740254
2.056,0.5237526
2.057,0.5742463
2.058,0.624948
2.059,0.675239
2.06,0.7244451
2.061,0.77189
2.062,0.8168324
2.063,0.8585107
2.064,0.8961822
