Age	M/Ms	Teff	L/Ls	g	R
0.001	0.0005	628	-5.37	2.65	12.25
0.001	0.001	942	-4.72	3	11.57
0.001	0.002	1285	-4.14	3.26	12.09
0.001	0.003	1553	-3.75	3.37	12.99
0.001	0.004	1747	-3.48	3.44	13.92
0.001	0.005	1901	-3.27	3.47	14.95
0.001	0.006	2004	-3.13	3.5	15.88
0.001	0.007	2098	-3	3.51	16.85
0.001	0.008	2159	-2.89	3.52	17.96
0.001	0.009	2207	-2.81	3.53	18.88
0.001	0.01	2251	-2.73	3.53	19.81
0.001	0.012	2321	-2.61	3.54	21.4
0.001	0.015	2400	-2.46	3.54	24.04
0.001	0.02	2484	-2.28	3.55	27.47
0.001	0.03	2598	-2.17	3.69	28.38
0.001	0.04	2746	-1.94	3.68	33.27
0.001	0.05	2768	-1.64	3.49	46.38
0.001	0.06	2824	-1.6	3.57	46.27
0.001	0.07	2853	-1.48	3.53	52.41
0.001	0.072	2858	-1.45	3.52	53.68
0.001	0.075	2833	-1.39	3.46	58.93
0.001	0.08	2869	-1.37	3.49	58.47
0.001	0.09	2867	-1.29	3.46	64.54
0.001	0.1	2856	-1.19	3.39	73.18
0.001	0.11	3023	-1.08	3.43	73.48
0.001	0.13	3072	-0.96	3.41	82.37
0.001	0.15	3120	-0.85	3.39	90.05
0.001	0.175	3163	-0.76	3.39	97.57
0.001	0.2	3193	-0.7	3.4	102.6
0.001	0.25	3242	-0.61	3.43	110.47
0.001	0.3	3281	-0.53	3.46	118.1
0.001	0.35	3318	-0.46	3.47	125.44
0.001	0.4	3357	-0.39	3.48	132.28
0.001	0.45	3388	-0.34	3.49	138.4
0.001	0.5	3427	-0.28	3.5	144.06
0.001	0.57	3485	-0.21	3.52	151.93
0.001	0.6	3507	-0.17	3.52	155.92
0.001	0.62	3525	-0.15	3.52	157.89
0.001	0.7	3593	-0.08	3.53	164.8
0.001	0.75	3632	-0.04	3.54	169.47
0.001	0.8	3670	0	3.55	173.8
0.001	0.85	3705	0.04	3.55	178.34
0.001	0.9	3752	0.03	3.61	171.83
0.001	0.95	3776	0.11	3.56	186.04
0.001	1	3810	0.13	3.58	187.82
0.001	1.05	3841	0.17	3.57	193.6
0.001	1.1	3871	0.21	3.57	197.99
0.001	1.15	3899	0.23	3.58	201.14
0.001	1.2	3978	0.28	3.58	203.89
0.001	1.3	4098	0.35	3.6	208.83
0.001	1.4	4197	0.42	3.6	214.98
0.002	0.0005	549	-5.67	2.71	11.32
0.002	0.001	814	-5.04	3.07	10.67
0.002	0.002	1125	-4.45	3.34	11
0.002	0.003	1352	-4.09	3.47	11.56
0.002	0.004	1551	-3.81	3.56	12.14
0.002	0.005	1716	-3.59	3.61	12.76
0.002	0.006	1849	-3.42	3.65	13.39
0.002	0.007	1954	-3.28	3.67	14.04
0.002	0.008	2047	-3.16	3.69	14.77
0.002	0.009	2119	-3.06	3.7	15.42
0.002	0.01	2172	-2.98	3.71	16.08
0.002	0.012	2264	-2.84	3.73	17.32
0.002	0.015	2368	-2.68	3.73	19.18
0.002	0.02	2477	-2.48	3.74	22
0.002	0.03	2609	-2.23	3.75	26.48
0.002	0.04	2747	-1.96	3.7	32.62
0.002	0.05	2790	-1.74	3.61	40.32
0.002	0.06	2828	-1.63	3.6	44.55
0.002	0.07	2858	-1.52	3.57	49.96
0.002	0.072	2864	-1.5	3.57	50.96
0.002	0.075	2865	-1.42	3.51	55.3
0.002	0.08	2884	-1.42	3.55	54.85
0.002	0.09	2904	-1.34	3.53	59.5
0.002	0.1	2884	-1.22	3.45	68.96
0.002	0.11	3014	-1.25	3.59	61.16
0.002	0.13	3045	-1.19	3.63	63.93
0.002	0.15	3080	-1.13	3.65	67.08
0.002	0.175	3122	-1.05	3.66	71.29
0.002	0.2	3162	-0.99	3.67	75.26
0.002	0.25	3245	-0.85	3.68	83.15
0.002	0.3	3313	-0.75	3.69	90.3
0.002	0.35	3369	-0.66	3.69	96.92
0.002	0.4	3416	-0.58	3.7	103.26
0.002	0.45	3460	-0.51	3.7	109.09
0.002	0.5	3497	-0.45	3.71	114.14
0.002	0.57	3552	-0.37	3.71	121.53
0.002	0.6	3574	-0.34	3.71	123.97
0.002	0.62	3588	-0.32	3.71	126.14
0.002	0.7	3645	-0.24	3.72	132.97
0.002	0.75	3679	-0.2	3.73	136.65
0.002	0.8	3711	-0.17	3.73	140.12
0.002	0.85	3745	-0.13	3.74	143.76
0.002	0.9	3780	-0.11	3.76	144.49
0.002	0.95	3808	-0.06	3.74	150.85
0.002	1	3842	-0.03	3.75	153.14
0.002	1.05	3873	0.01	3.75	157.89
0.002	1.1	3910	0.04	3.75	160.58
0.002	1.15	3998	0.09	3.76	163.06
0.002	1.2	4048	0.12	3.77	164.46
0.002	1.3	4136	0.18	3.78	168.42
0.002	1.4	4211	0.24	3.79	173.62
0.003	0.0005	501	-5.87	2.75	10.86
0.003	0.001	734	-5.26	3.1	10.23
0.003	0.002	1025	-4.65	3.38	10.49
0.003	0.003	1241	-4.29	3.52	10.93
0.003	0.004	1415	-4.03	3.62	11.34
0.003	0.005	1580	-3.8	3.68	11.79
0.003	0.006	1721	-3.62	3.72	12.27
0.003	0.007	1842	-3.46	3.76	12.77
0.003	0.008	1943	-3.34	3.78	13.29
0.003	0.009	2028	-3.23	3.79	13.86
0.003	0.01	2100	-3.14	3.81	14.35
0.003	0.012	2207	-2.99	3.83	15.43
0.003	0.015	2332	-2.81	3.84	16.96
0.003	0.02	2465	-2.58	3.84	19.64
0.003	0.03	2613	-2.24	3.77	25.96
0.003	0.04	2749	-1.98	3.72	31.79
0.003	0.05	2793	-1.77	3.63	39.23
0.003	0.06	2835	-1.69	3.66	41.57
0.003	0.07	2871	-1.6	3.66	44.82
0.003	0.072	2878	-1.59	3.67	45.3
0.003	0.075	2873	-1.47	3.56	52.07
0.003	0.08	2905	-1.54	3.68	46.96
0.003	0.09	2928	-1.49	3.69	49.11
0.003	0.1	2925	-1.31	3.56	60.17
0.003	0.11	3040	-1.42	3.77	49.59
0.003	0.13	3073	-1.34	3.79	53.09
0.003	0.15	3105	-1.27	3.8	56.33
0.003	0.175	3136	-1.19	3.8	60.6
0.003	0.2	3174	-1.11	3.81	64.38
0.003	0.25	3258	-0.98	3.82	71.23
0.003	0.3	3333	-0.86	3.82	77.79
0.003	0.35	3392	-0.77	3.82	83.88
0.003	0.4	3442	-0.69	3.82	89.38
0.003	0.45	3483	-0.62	3.83	94.42
0.003	0.5	3524	-0.56	3.83	99.24
0.003	0.57	3575	-0.48	3.83	105.65
0.003	0.6	3594	-0.45	3.83	108.34
0.003	0.62	3609	-0.43	3.84	109.61
0.003	0.7	3664	-0.35	3.84	116.09
0.003	0.75	3695	-0.31	3.84	119.3
0.003	0.8	3731	-0.27	3.85	122.87
0.003	0.85	3764	-0.23	3.85	126.01
0.003	0.9	3796	-0.21	3.86	128.06
0.003	0.95	3828	-0.16	3.85	132.88
0.003	1	3863	-0.13	3.86	134.87
0.003	1.05	3893	-0.1	3.86	138.28
0.003	1.1	3972	-0.04	3.86	141.37
0.003	1.15	4032	-0.01	3.87	142.79
0.003	1.2	4075	0.02	3.88	144.88
0.003	1.3	4156	0.08	3.89	149.16
0.003	1.4	4231	0.14	3.9	153.67
0.004	0.0005	473	-5.99	2.78	10.53
0.004	0.001	685	-5.4	3.12	9.99
0.004	0.002	957	-4.8	3.41	10.2
0.004	0.003	1160	-4.43	3.55	10.53
0.004	0.004	1327	-4.17	3.65	10.89
0.004	0.005	1490	-3.94	3.72	11.29
0.004	0.006	1626	-3.76	3.77	11.65
0.004	0.007	1750	-3.6	3.81	12.05
0.004	0.008	1858	-3.47	3.84	12.45
0.004	0.009	1951	-3.36	3.86	12.91
0.004	0.01	2029	-3.26	3.87	13.36
0.004	0.012	2152	-3.1	3.9	14.19
0.004	0.015	2294	-2.91	3.91	15.58
0.004	0.02	2456	-2.64	3.88	18.6
0.004	0.03	2615	-2.25	3.78	25.64
0.004	0.04	2751	-2.01	3.76	30.5
0.004	0.05	2798	-1.8	3.67	37.81
0.004	0.06	2854	-1.8	3.79	36.05
0.004	0.07	2895	-1.74	3.82	37.7
0.004	0.072	2902	-1.72	3.82	38.19
0.004	0.075	2891	-1.58	3.69	45.16
0.004	0.08	2925	-1.68	3.83	39.73
0.004	0.09	2951	-1.61	3.83	42.01
0.004	0.1	2957	-1.48	3.75	48.68
0.004	0.11	3065	-1.51	3.89	43.57
0.004	0.13	3105	-1.43	3.9	46.85
0.004	0.15	3130	-1.35	3.9	50.23
0.004	0.175	3162	-1.27	3.9	54.04
0.004	0.2	3197	-1.2	3.9	57.74
0.004	0.25	3270	-1.06	3.9	64.31
0.004	0.3	3340	-0.95	3.91	69.92
0.004	0.35	3400	-0.86	3.91	75.39
0.004	0.4	3452	-0.78	3.92	80.3
0.004	0.45	3492	-0.7	3.91	85.29
0.004	0.5	3533	-0.64	3.92	89.68
0.004	0.57	3584	-0.56	3.92	95.41
0.004	0.6	3604	-0.53	3.92	97.81
0.004	0.62	3619	-0.51	3.92	99.53
0.004	0.7	3674	-0.43	3.92	105.34
0.004	0.75	3703	-0.39	3.92	108.81
0.004	0.8	3740	-0.35	3.93	111.47
0.004	0.85	3773	-0.31	3.93	114.92
0.004	0.9	3806	-0.28	3.94	116.72
0.004	0.95	3841	-0.23	3.93	121.07
0.004	1	3878	-0.21	3.94	122.81
0.004	1.05	3928	-0.16	3.94	126.6
0.004	1.1	4014	-0.11	3.95	128.1
0.004	1.15	4057	-0.08	3.96	129.88
0.004	1.2	4098	-0.04	3.96	132.27
0.004	1.3	4180	0.02	3.97	136.71
0.004	1.4	4260	0.08	3.96	142.15
0.005	0.0005	455	-6.08	2.79	10.33
0.005	0.001	644	-5.52	3.14	9.79
0.005	0.002	901	-4.92	3.43	9.98
0.005	0.003	1098	-4.55	3.58	10.27
0.005	0.004	1263	-4.28	3.68	10.59
0.005	0.005	1413	-4.06	3.75	10.92
0.005	0.006	1543	-3.89	3.8	11.2
0.005	0.007	1668	-3.73	3.84	11.54
0.005	0.008	1786	-3.58	3.87	11.92
0.005	0.009	1885	-3.46	3.9	12.26
0.005	0.01	1965	-3.36	3.92	12.62
0.005	0.012	2102	-3.19	3.95	13.4
0.005	0.015	2264	-2.98	3.96	14.76
0.005	0.02	2452	-2.66	3.9	18.18
0.005	0.03	2616	-2.26	3.79	25.27
0.005	0.04	2754	-2.07	3.81	28.52
0.005	0.05	2806	-1.85	3.72	35.47
0.005	0.06	2875	-1.9	3.9	31.69
0.005	0.07	2916	-1.83	3.92	33.51
0.005	0.072	2921	-1.81	3.92	33.97
0.005	0.075	2912	-1.72	3.83	38.27
0.005	0.08	2946	-1.76	3.92	35.53
0.005	0.09	2974	-1.7	3.93	37.56
0.005	0.1	2983	-1.58	3.86	42.55
0.005	0.11	3094	-1.59	3.97	39.33
0.005	0.13	3130	-1.49	3.97	42.75
0.005	0.15	3163	-1.42	3.98	45.81
0.005	0.175	3198	-1.33	3.98	49.51
0.005	0.2	3225	-1.26	3.98	52.9
0.005	0.25	3287	-1.13	3.98	58.99
0.005	0.3	3345	-1.02	3.98	64.53
0.005	0.35	3402	-0.93	3.98	69.61
0.005	0.4	3455	-0.84	3.98	74.51
0.005	0.45	3495	-0.77	3.98	78.72
0.005	0.5	3538	-0.7	3.98	83.21
0.005	0.57	3588	-0.62	3.98	88.52
0.005	0.6	3608	-0.59	3.99	90.75
0.005	0.62	3623	-0.57	3.98	92.35
0.005	0.7	3678	-0.5	3.99	97.71
0.005	0.75	3709	-0.45	3.99	100.94
0.005	0.8	3745	-0.41	3.99	103.93
0.005	0.85	3779	-0.37	4	106.54
0.005	0.9	3815	-0.34	4	108.78
0.005	0.95	3852	-0.3	4	112.19
0.005	1	3890	-0.26	4.01	114.51
0.005	1.05	3977	-0.2	4	117.49
0.005	1.1	4035	-0.16	4.01	119.34
0.005	1.15	4078	-0.13	4.01	121.42
0.005	1.2	4122	-0.09	4.02	123.58
0.005	1.3	4209	-0.02	4.02	128.37
0.005	1.4	4303	0.05	4.01	134.15
0.006	0.0005	436	-6.17	2.81	10.14
0.006	0.001	614	-5.62	3.15	9.66
0.006	0.002	860	-5.02	3.44	9.83
0.006	0.003	1050	-4.65	3.59	10.08
0.006	0.004	1213	-4.37	3.69	10.38
0.006	0.005	1354	-4.16	3.77	10.65
0.006	0.006	1483	-3.98	3.83	10.9
0.006	0.007	1607	-3.82	3.87	11.21
0.006	0.008	1718	-3.68	3.9	11.5
0.006	0.009	1818	-3.56	3.93	11.79
0.006	0.01	1910	-3.45	3.96	12.11
0.006	0.012	2057	-3.27	3.98	12.84
0.006	0.015	2238	-3.03	3.99	14.21
0.006	0.02	2449	-2.68	3.92	17.91
0.006	0.03	2619	-2.28	3.81	24.79
0.006	0.04	2759	-2.16	3.91	25.6
0.006	0.05	2818	-1.95	3.83	31.29
0.006	0.06	2890	-1.98	3.98	28.8
0.006	0.07	2935	-1.9	4	30.6
0.006	0.072	2942	-1.88	4	31.01
0.006	0.075	2933	-1.8	3.93	34.22
0.006	0.08	2970	-1.82	4	32.62
0.006	0.09	2999	-1.75	4	34.5
0.006	0.1	3006	-1.65	3.95	38.65
0.006	0.11	3105	-1.65	4.04	36.5
0.006	0.13	3143	-1.55	4.04	39.66
0.006	0.15	3178	-1.47	4.04	42.72
0.006	0.175	3211	-1.38	4.04	46.14
0.006	0.2	3236	-1.31	4.03	49.56
0.006	0.25	3292	-1.18	4.04	55.28
0.006	0.3	3345	-1.08	4.04	60.49
0.006	0.35	3399	-0.98	4.04	65.31
0.006	0.4	3454	-0.9	4.04	69.93
0.006	0.45	3499	-0.82	4.03	74.24
0.006	0.5	3545	-0.76	4.04	78.03
0.006	0.57	3596	-0.68	4.04	83.03
0.006	0.6	3619	-0.64	4.04	85.13
0.006	0.62	3635	-0.62	4.04	86.58
0.006	0.7	3689	-0.55	4.04	91.64
0.006	0.75	3726	-0.5	4.05	94.59
0.006	0.8	3762	-0.46	4.05	97.41
0.006	0.85	3794	-0.42	4.05	100.4
0.006	0.9	3834	-0.38	4.06	102.47
0.006	0.95	3871	-0.34	4.05	105.77
0.006	1	3919	-0.3	4.05	108.31
0.006	1.05	4004	-0.24	4.06	110.69
0.006	1.1	4051	-0.2	4.06	112.89
0.006	1.15	4100	-0.17	4.06	114.79
0.006	1.2	4147	-0.13	4.06	117.31
0.006	1.3	4248	-0.05	4.06	122.39
0.006	1.4	4358	0.04	4.05	128.78
0.007	0.0005	421	-6.24	2.82	9.99
0.007	0.001	592	-5.69	3.16	9.55
0.007	0.002	825	-5.1	3.45	9.7
0.007	0.003	1007	-4.73	3.61	9.94
0.007	0.004	1164	-4.46	3.71	10.19
0.007	0.005	1300	-4.25	3.79	10.43
0.007	0.006	1430	-4.06	3.85	10.66
0.007	0.007	1555	-3.89	3.89	10.94
0.007	0.008	1665	-3.75	3.93	11.2
0.007	0.009	1766	-3.63	3.96	11.46
0.007	0.01	1860	-3.52	3.98	11.74
0.007	0.012	2014	-3.34	4.02	12.37
0.007	0.015	2221	-3.07	4.01	13.9
0.007	0.02	2447	-2.68	3.92	17.78
0.007	0.03	2621	-2.3	3.83	24.17
0.007	0.04	2764	-2.24	3.99	23.28
0.007	0.05	2829	-2.04	3.93	27.77
0.007	0.06	2887	-2.05	4.05	26.61
0.007	0.07	2932	-1.96	4.06	28.57
0.007	0.072	2940	-1.94	4.06	28.93
0.007	0.075	2953	-1.86	4	31.41
0.007	0.08	2968	-1.88	4.06	30.44
0.007	0.09	2998	-1.82	4.06	32.18
0.007	0.1	3023	-1.71	4.02	35.68
0.007	0.11	3106	-1.7	4.09	34.25
0.007	0.13	3144	-1.6	4.09	37.39
0.007	0.15	3181	-1.52	4.09	40.05
0.007	0.175	3214	-1.43	4.09	43.49
0.007	0.2	3240	-1.36	4.09	46.68
0.007	0.25	3294	-1.23	4.08	52.34
0.007	0.3	3343	-1.13	4.08	57.33
0.007	0.35	3397	-1.03	4.08	61.92
0.007	0.4	3453	-0.95	4.09	65.95
0.007	0.45	3502	-0.87	4.09	70.02
0.007	0.5	3551	-0.8	4.08	73.99
0.007	0.57	3605	-0.72	4.09	78.71
0.007	0.6	3630	-0.69	4.09	80.68
0.007	0.62	3644	-0.66	4.09	82.1
0.007	0.7	3698	-0.59	4.09	86.88
0.007	0.75	3737	-0.54	4.09	90.16
0.007	0.8	3773	-0.5	4.09	92.81
0.007	0.85	3807	-0.45	4.09	95.63
0.007	0.9	3849	-0.42	4.1	97.75
0.007	0.95	3884	-0.37	4.09	101.1
0.007	1	3951	-0.32	4.1	103.18
0.007	1.05	4020	-0.28	4.1	105.26
0.007	1.1	4070	-0.23	4.1	107.76
0.007	1.15	4123	-0.19	4.1	109.99
0.007	1.2	4176	-0.15	4.1	112.41
0.007	1.3	4290	-0.06	4.09	118.32
0.007	1.4	4426	0.04	4.07	125.17
0.008	0.0005	409	-6.3	2.83	9.89
0.008	0.001	576	-5.74	3.17	9.48
0.008	0.002	796	-5.17	3.46	9.61
0.008	0.003	972	-4.8	3.62	9.81
0.008	0.004	1128	-4.52	3.72	10.06
0.008	0.005	1265	-4.31	3.8	10.28
0.008	0.006	1384	-4.13	3.86	10.47
0.008	0.007	1502	-3.97	3.91	10.69
0.008	0.008	1611	-3.83	3.95	10.92
0.008	0.009	1712	-3.71	3.98	11.16
0.008	0.01	1808	-3.6	4.01	11.4
0.008	0.012	1979	-3.39	4.04	12.03
0.008	0.015	2206	-3.09	4.03	13.66
0.008	0.02	2446	-2.69	3.93	17.66
0.008	0.03	2623	-2.33	3.86	23.33
0.008	0.04	2754	-2.31	4.05	21.63
0.008	0.05	2835	-2.11	4.01	25.52
0.008	0.06	2881	-2.1	4.1	25.11
0.008	0.07	2927	-2.01	4.11	26.96
0.008	0.072	2935	-2	4.11	27.3
0.008	0.075	2950	-1.93	4.06	29.31
0.008	0.08	2965	-1.93	4.11	28.7
0.008	0.09	2997	-1.86	4.11	30.52
0.008	0.1	3023	-1.77	4.07	33.48
0.008	0.11	3108	-1.75	4.14	32.48
0.008	0.13	3146	-1.65	4.14	35.45
0.008	0.15	3183	-1.56	4.14	38.15
0.008	0.175	3217	-1.47	4.13	41.42
0.008	0.2	3244	-1.4	4.13	44.46
0.008	0.25	3296	-1.27	4.13	49.85
0.008	0.3	3343	-1.17	4.13	54.6
0.008	0.35	3396	-1.07	4.13	58.99
0.008	0.4	3451	-0.98	4.12	63.21
0.008	0.45	3503	-0.91	4.12	67.12
0.008	0.5	3554	-0.84	4.12	70.53
0.008	0.57	3612	-0.75	4.12	75.41
0.008	0.6	3636	-0.72	4.12	77.33
0.008	0.62	3652	-0.7	4.13	78.23
0.008	0.7	3707	-0.62	4.13	83.21
0.008	0.75	3746	-0.58	4.13	85.91
0.008	0.8	3782	-0.53	4.13	88.91
0.008	0.85	3819	-0.49	4.13	91.7
0.008	0.9	3860	-0.45	4.13	93.94
0.008	0.95	3897	-0.4	4.13	96.93
0.008	1	3974	-0.35	4.13	99.09
0.008	1.05	4036	-0.3	4.13	101.36
0.008	1.1	4092	-0.26	4.13	103.68
0.008	1.15	4151	-0.22	4.13	105.86
0.008	1.2	4210	-0.17	4.13	108.67
0.008	1.3	4343	-0.06	4.11	115.12
0.008	1.4	4508	0.06	4.09	122.94
0.009	0.0005	399	-6.35	2.84	9.78
0.009	0.001	556	-5.81	3.18	9.39
0.009	0.002	768	-5.24	3.47	9.51
0.009	0.003	942	-4.87	3.62	9.72
0.009	0.004	1093	-4.59	3.73	9.93
0.009	0.005	1222	-4.38	3.81	10.13
0.009	0.006	1346	-4.19	3.87	10.32
0.009	0.007	1464	-4.03	3.92	10.52
0.009	0.008	1573	-3.89	3.96	10.74
0.009	0.009	1674	-3.76	4	10.95
0.009	0.01	1770	-3.65	4.03	11.18
0.009	0.012	1948	-3.44	4.06	11.76
0.009	0.015	2195	-3.11	4.04	13.49
0.009	0.02	2445	-2.7	3.94	17.53
0.009	0.03	2624	-2.37	3.91	22.15
0.009	0.04	2743	-2.36	4.1	20.42
0.009	0.05	2828	-2.18	4.07	23.82
0.009	0.06	2875	-2.15	4.15	23.83
0.009	0.07	2922	-2.06	4.15	25.58
0.009	0.072	2930	-2.04	4.15	25.91
0.009	0.075	2946	-1.98	4.11	27.65
0.009	0.08	2961	-1.98	4.15	27.37
0.009	0.09	2996	-1.91	4.15	29.08
0.009	0.1	3023	-1.81	4.12	31.74
0.009	0.11	3110	-1.79	4.18	30.96
0.009	0.13	3148	-1.69	4.18	33.79
0.009	0.15	3184	-1.6	4.17	36.56
0.009	0.175	3220	-1.51	4.17	39.68
0.009	0.2	3248	-1.43	4.17	42.58
0.009	0.25	3300	-1.31	4.16	47.73
0.009	0.3	3343	-1.2	4.16	52.57
0.009	0.35	3395	-1.11	4.16	56.81
0.009	0.4	3451	-1.02	4.16	60.56
0.009	0.45	3503	-0.94	4.16	64.33
0.009	0.5	3555	-0.88	4.16	67.59
0.009	0.57	3617	-0.79	4.16	72.25
0.009	0.6	3642	-0.75	4.16	74.06
0.009	0.62	3656	-0.73	4.16	75.38
0.009	0.7	3714	-0.66	4.16	79.74
0.009	0.75	3753	-0.61	4.16	82.73
0.009	0.8	3790	-0.56	4.16	85.2
0.009	0.85	3830	-0.52	4.16	88.03
0.009	0.9	3872	-0.47	4.16	90.44
0.009	0.95	3917	-0.42	4.16	93.53
0.009	1	3993	-0.37	4.16	95.8
0.009	1.05	4054	-0.32	4.16	97.94
0.009	1.1	4114	-0.28	4.16	100.51
0.009	1.15	4178	-0.23	4.16	103.05
0.009	1.2	4250	-0.18	4.15	105.85
0.009	1.3	4403	-0.06	4.13	112.95
0.009	1.4	4606	0.09	4.1	121.9
0.01	0.0005	394	-6.38	2.85	9.71
0.01	0.001	540	-5.87	3.18	9.31
0.01	0.002	746	-5.3	3.47	9.44
0.01	0.003	920	-4.91	3.63	9.65
0.01	0.004	1064	-4.64	3.74	9.84
0.01	0.005	1193	-4.43	3.82	10.03
0.01	0.006	1316	-4.24	3.88	10.21
0.01	0.007	1426	-4.09	3.94	10.37
0.01	0.008	1536	-3.94	3.98	10.57
0.01	0.009	1635	-3.82	4.01	10.76
0.01	0.01	1731	-3.7	4.04	10.97
0.01	0.012	1915	-3.49	4.08	11.5
0.01	0.015	2188	-3.13	4.05	13.38
0.01	0.02	2442	-2.71	3.95	17.35
0.01	0.03	2622	-2.43	3.97	20.62
0.01	0.04	2734	-2.41	4.15	19.49
0.01	0.05	2821	-2.23	4.12	22.49
0.01	0.06	2871	-2.19	4.18	22.84
0.01	0.07	2919	-2.1	4.19	24.52
0.01	0.072	2927	-2.08	4.19	24.83
0.01	0.075	2942	-2.02	4.16	26.36
0.01	0.08	2958	-2.02	4.19	26.24
0.01	0.09	2993	-1.94	4.19	27.88
0.01	0.1	3024	-1.85	4.16	30.25
0.01	0.11	3112	-1.82	4.22	29.68
0.01	0.13	3149	-1.72	4.21	32.56
0.01	0.15	3186	-1.64	4.21	35.03
0.01	0.175	3222	-1.55	4.21	38.02
0.01	0.2	3251	-1.46	4.2	41.01
0.01	0.25	3303	-1.34	4.2	45.95
0.01	0.3	3345	-1.23	4.19	50.6
0.01	0.35	3396	-1.14	4.19	54.7
0.01	0.4	3451	-1.05	4.19	58.63
0.01	0.45	3503	-0.98	4.19	61.97
0.01	0.5	3555	-0.9	4.19	65.47
0.01	0.57	3619	-0.82	4.19	69.61
0.01	0.6	3645	-0.78	4.19	71.34
0.01	0.62	3660	-0.76	4.19	72.59
0.01	0.7	3719	-0.68	4.19	77.21
0.01	0.75	3758	-0.64	4.19	79.72
0.01	0.8	3795	-0.59	4.19	82.63
0.01	0.85	3839	-0.54	4.19	85.12
0.01	0.9	3882	-0.5	4.19	87.66
0.01	0.95	3939	-0.44	4.19	90.44
0.01	1	4011	-0.39	4.19	92.85
0.01	1.05	4075	-0.34	4.19	95.21
0.01	1.1	4142	-0.29	4.18	97.75
0.01	1.15	4212	-0.23	4.18	100.62
0.01	1.2	4291	-0.18	4.17	103.84
0.01	1.3	4476	-0.04	4.14	111.55
0.01	1.4	4707	0.13	4.1	122.08
0.02	0.0005	352	-6.63	2.9	9.11
0.02	0.001	466	-6.16	3.22	8.95
0.02	0.002	614	-5.67	3.51	9.04
0.02	0.003	753	-5.31	3.68	9.17
0.02	0.004	877	-5.03	3.79	9.28
0.02	0.005	991	-4.81	3.88	9.38
0.02	0.006	1100	-4.62	3.95	9.48
0.02	0.007	1195	-4.47	4.01	9.55
0.02	0.008	1293	-4.32	4.06	9.64
0.02	0.009	1386	-4.2	4.1	9.72
0.02	0.01	1483	-4.07	4.14	9.83
0.02	0.012	1714	-3.77	4.17	10.36
0.02	0.015	2149	-3.19	4.08	12.85
0.02	0.02	2362	-2.93	4.1	14.45
0.02	0.03	2506	-2.85	4.31	13.97
0.02	0.04	2649	-2.71	4.39	14.74
0.02	0.05	2766	-2.53	4.39	16.53
0.02	0.06	2833	-2.44	4.42	17.49
0.02	0.07	2891	-2.34	4.42	18.85
0.02	0.072	2901	-2.33	4.42	19.09
0.02	0.075	2917	-2.28	4.4	19.84
0.02	0.08	2936	-2.26	4.42	20.16
0.02	0.09	2972	-2.18	4.42	21.41
0.02	0.1	3012	-2.1	4.4	22.97
0.02	0.11	3121	-2.04	4.44	23
0.02	0.13	3171	-1.93	4.43	25.21
0.02	0.15	3209	-1.85	4.43	27.14
0.02	0.175	3244	-1.75	4.42	29.58
0.02	0.2	3279	-1.67	4.42	31.87
0.02	0.25	3336	-1.53	4.41	36.01
0.02	0.3	3381	-1.42	4.4	39.83
0.02	0.35	3422	-1.33	4.4	43.08
0.02	0.4	3464	-1.25	4.4	46.23
0.02	0.45	3510	-1.18	4.4	48.92
0.02	0.5	3554	-1.11	4.39	51.75
0.02	0.57	3618	-1.02	4.39	55.38
0.02	0.6	3648	-0.98	4.39	56.85
0.02	0.62	3667	-0.96	4.39	57.64
0.02	0.7	3750	-0.86	4.38	61.99
0.02	0.75	3801	-0.8	4.38	64.73
0.02	0.8	3864	-0.73	4.37	67.44
0.02	0.85	3938	-0.66	4.36	70.37
0.02	0.9	4039	-0.58	4.35	73.28
0.02	0.95	4152	-0.5	4.33	76.44
0.02	1	4287	-0.4	4.32	80.09
0.02	1.05	4446	-0.29	4.29	84.38
0.02	1.1	4638	-0.17	4.26	89.84
0.02	1.15	4866	-0.02	4.21	96.86
0.02	1.2	5133	0.16	4.15	106.55
0.02	1.3	5844	0.52	4.05	124.6
0.03	0.0005	325	-6.81	2.93	8.78
0.03	0.001	424	-6.35	3.24	8.74
0.03	0.002	558	-5.85	3.53	8.87
0.03	0.003	669	-5.53	3.7	8.95
0.03	0.004	780	-5.26	3.81	9.04
0.03	0.005	881	-5.04	3.9	9.09
0.03	0.006	980	-4.85	3.98	9.13
0.03	0.007	1079	-4.68	4.04	9.2
0.03	0.008	1161	-4.55	4.1	9.23
0.03	0.009	1249	-4.42	4.14	9.29
0.03	0.01	1337	-4.29	4.18	9.34
0.03	0.012	1623	-3.9	4.21	9.95
0.03	0.015	2099	-3.27	4.12	12.27
0.03	0.02	2162	-3.28	4.3	11.49
0.03	0.03	2410	-3.05	4.44	11.99
0.03	0.04	2591	-2.87	4.51	12.85
0.03	0.05	2722	-2.69	4.52	14.23
0.03	0.06	2805	-2.58	4.54	15.21
0.03	0.07	2871	-2.48	4.54	16.37
0.03	0.072	2881	-2.46	4.54	16.58
0.03	0.075	2899	-2.42	4.53	17.14
0.03	0.08	2921	-2.39	4.54	17.5
0.03	0.09	2962	-2.31	4.54	18.57
0.03	0.1	2998	-2.24	4.53	19.82
0.03	0.11	3116	-2.16	4.56	19.94
0.03	0.13	3172	-2.06	4.56	21.74
0.03	0.15	3218	-1.97	4.56	23.5
