!  STARS, BROWN DWARFS, AND GAS GIANT PLANETS COLORS
!  
!  E(B-V) =     0.000
!     A_V =     0.000
!
!  "MAGNITUDES" m AT THE STELLAR SURFACE
!  (distance modulus factor not included)
!
!  ABSOLUTE MAGNITUDES: M_m = m - 5logR(pc) + 5
!
! Type of calibration used: Vega
! Using recent Calspec Alpha Lyrea STIS spectrum:
! ftp://ftp.stsci.edu/cdbs/current_calspec/
!
! Unless mentioned otherwise below, we calculate:
! Pogson magnitudes resulting from photon count integration (caracteristic of CCDs)
!
!  MKO filter system
!
!        Teff    Logg   [M/H]   [a/H]             J           H          Ks          L'          M'
      1400.00    5.50    0.00    0.00       -34.110     -35.136     -35.759     -37.029     -36.477
      1450.00    5.50    0.00    0.00       -34.020     -35.157     -35.999     -37.169     -36.500
      1500.00    3.50    0.00    0.00       -33.040     -34.568     -35.761     -37.340     -37.622
      1500.00    3.50    0.50    0.00       -32.536     -34.206     -35.633     -37.536     -37.709
      1500.00    3.50   -0.50    0.20       -33.075     -34.546     -35.799     -37.374     -37.540
      1500.00    4.00    0.00    0.00       -33.325     -34.779     -35.957     -37.256     -37.488
      1500.00    4.00    0.50    0.00       -33.211     -34.734     -35.948     -37.286     -37.486
      1500.00    4.00   -0.50    0.20       -33.616     -34.881     -36.008     -37.391     -37.465
      1500.00    4.50    0.00    0.00       -33.487     -34.909     -36.052     -37.321     -37.348
      1500.00    4.50    0.50    0.00       -33.733     -35.201     -36.305     -37.470     -37.533
      1500.00    4.50   -0.50    0.20       -33.762     -34.986     -36.047     -37.307     -37.301
      1500.00    5.00    0.00    0.00       -34.036     -35.184     -36.160     -37.321     -36.859
      1500.00    5.00    0.50    0.00       -33.605     -34.897     -36.023     -37.371     -37.136
      1500.00    5.00   -0.50    0.20       -32.822     -34.757     -36.145     -37.659     -37.462
      1550.00    3.50    0.00    0.00       -32.949     -34.543     -35.973     -37.625     -37.702
      1550.00    4.00    0.00    0.00       -33.492     -34.930     -36.069     -37.439     -37.609
      1550.00    4.00   -0.50    0.20       -33.766     -35.002     -36.131     -37.514     -37.539
      1550.00    4.50    0.00    0.00       -33.768     -35.296     -36.475     -37.751     -37.563
      1550.00    5.00    0.00    0.00       -33.971     -35.191     -36.167     -37.309     -37.208
      1500.00    5.50    0.00    0.00       -34.330     -35.329     -36.149     -37.277     -36.655
      1550.00    5.50    0.00    0.00       -33.793     -34.977     -35.993     -37.236     -37.342
      1600.00    3.50    0.00    0.00       -33.313     -35.052     -36.315     -37.604     -37.664
      1600.00    3.50    0.50    0.00       -33.810     -35.334     -36.557     -37.733     -37.750
      1600.00    3.50   -0.50    0.20       -33.992     -35.084     -36.242     -37.602     -37.623
      1600.00    4.00    0.00    0.00       -33.865     -35.055     -36.128     -37.379     -37.556
      1600.00    4.00    0.50    0.00       -33.500     -35.177     -36.528     -37.874     -37.806
      1600.00    4.00   -0.50    0.20       -34.026     -35.243     -36.300     -37.596     -37.633
      1600.00    4.50    0.00    0.00       -33.236     -35.035     -36.344     -37.729     -37.750
      1600.00    4.50    0.50    0.00       -33.883     -35.287     -36.356     -37.484     -37.629
      1600.00    4.50   -0.50    0.20       -34.135     -35.399     -36.444     -37.742     -37.574
      1600.00    5.00    0.00    0.00       -34.174     -35.363     -36.332     -37.493     -37.482
      1600.00    5.00    0.50    0.00       -34.307     -35.447     -36.376     -37.401     -37.368
      1600.00    5.00   -0.50    0.20       -34.237     -35.487     -36.435     -37.726     -37.398
      1650.00    4.00    0.00    0.00       -33.747     -35.323     -36.507     -37.757     -37.785
      1650.00    4.50    0.00    0.00       -33.865     -35.412     -36.538     -37.790     -37.732
      1650.00    5.00    0.00    0.00       -34.568     -35.567     -36.440     -37.570     -37.495
      1600.00    5.50    0.00    0.00       -34.123     -35.283     -36.221     -37.377     -37.429
      1650.00    5.50    0.00    0.00       -34.745     -35.676     -36.421     -37.454     -37.333
